[2025-10-06T17:34:03.964+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-10-06T17:34:04.724+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759738916.json -> /tmp/minio_downloads/1759738916.json
[2025-10-06T17:34:04.730+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759738943.json -> /tmp/minio_downloads/1759738943.json
[2025-10-06T17:34:04.736+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759738959.json -> /tmp/minio_downloads/1759738959.json
[2025-10-06T17:34:04.743+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759738973.json -> /tmp/minio_downloads/1759738973.json
[2025-10-06T17:34:04.749+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759738989.json -> /tmp/minio_downloads/1759738989.json
[2025-10-06T17:34:04.756+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759739009.json -> /tmp/minio_downloads/1759739009.json
[2025-10-06T17:34:04.764+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759739029.json -> /tmp/minio_downloads/1759739029.json
[2025-10-06T17:34:04.770+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759739055.json -> /tmp/minio_downloads/1759739055.json
[2025-10-06T17:34:04.776+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759739075.json -> /tmp/minio_downloads/1759739075.json
[2025-10-06T17:34:04.783+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759739097.json -> /tmp/minio_downloads/1759739097.json
[2025-10-06T17:34:04.790+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759739117.json -> /tmp/minio_downloads/1759739117.json
[2025-10-06T17:34:04.797+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759739134.json -> /tmp/minio_downloads/1759739134.json
[2025-10-06T17:34:04.803+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759739151.json -> /tmp/minio_downloads/1759739151.json
[2025-10-06T17:34:04.811+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759739169.json -> /tmp/minio_downloads/1759739169.json
[2025-10-06T17:34:04.819+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759739187.json -> /tmp/minio_downloads/1759739187.json
[2025-10-06T17:34:04.826+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759739204.json -> /tmp/minio_downloads/1759739204.json
[2025-10-06T17:34:04.833+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759739225.json -> /tmp/minio_downloads/1759739225.json
[2025-10-06T17:34:04.839+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759739242.json -> /tmp/minio_downloads/1759739242.json
[2025-10-06T17:34:04.846+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759739260.json -> /tmp/minio_downloads/1759739260.json
[2025-10-06T17:34:04.853+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759739276.json -> /tmp/minio_downloads/1759739276.json
[2025-10-06T17:34:04.860+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759739290.json -> /tmp/minio_downloads/1759739290.json
[2025-10-06T17:34:04.867+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759739304.json -> /tmp/minio_downloads/1759739304.json
[2025-10-06T17:34:04.873+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759739319.json -> /tmp/minio_downloads/1759739319.json
[2025-10-06T17:34:04.880+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759739333.json -> /tmp/minio_downloads/1759739333.json
[2025-10-06T17:34:04.887+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759739346.json -> /tmp/minio_downloads/1759739346.json
[2025-10-06T17:34:04.894+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759739360.json -> /tmp/minio_downloads/1759739360.json
[2025-10-06T17:34:04.900+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759739375.json -> /tmp/minio_downloads/1759739375.json
[2025-10-06T17:34:04.906+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759739391.json -> /tmp/minio_downloads/1759739391.json
[2025-10-06T17:34:04.913+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759739406.json -> /tmp/minio_downloads/1759739406.json
[2025-10-06T17:34:04.919+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759739425.json -> /tmp/minio_downloads/1759739425.json
[2025-10-06T17:34:04.925+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759739439.json -> /tmp/minio_downloads/1759739439.json
[2025-10-06T17:34:04.932+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759739452.json -> /tmp/minio_downloads/1759739452.json
[2025-10-06T17:34:04.938+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759739468.json -> /tmp/minio_downloads/1759739468.json
