[2025-10-07T08:46:14.572+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-10-07T08:46:14.614+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake.load_snowflake scheduled__2025-10-06T17:36:00+00:00 [queued]>
[2025-10-07T08:46:14.626+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake.load_snowflake scheduled__2025-10-06T17:36:00+00:00 [queued]>
[2025-10-07T08:46:14.627+0000] {taskinstance.py:2306} INFO - Starting attempt 2 of 2
[2025-10-07T08:46:14.640+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): load_snowflake> on 2025-10-06 17:36:00+00:00
[2025-10-07T08:46:14.651+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake', 'load_snowflake', 'scheduled__2025-10-06T17:36:00+00:00', '--job-id', '41', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake.py', '--cfg-path', '/tmp/tmpt4x754nf']
[2025-10-07T08:46:14.655+0000] {standard_task_runner.py:91} INFO - Job 41: Subtask load_snowflake
[2025-10-07T08:46:14.655+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=18182) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-10-07T08:46:14.656+0000] {standard_task_runner.py:64} INFO - Started process 18192 to run task
[2025-10-07T08:46:14.735+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake.load_snowflake scheduled__2025-10-06T17:36:00+00:00 [running]> on host 24b9f9b681d0
[2025-10-07T08:46:14.840+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake' AIRFLOW_CTX_TASK_ID='load_snowflake' AIRFLOW_CTX_EXECUTION_DATE='2025-10-06T17:36:00+00:00' AIRFLOW_CTX_TRY_NUMBER='2' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-10-06T17:36:00+00:00'
[2025-10-07T08:46:14.842+0000] {taskinstance.py:430} INFO - ::endgroup::
[2025-10-07T08:46:14.872+0000] {connection.py:408} INFO - Snowflake Connector for Python Version: 3.11.0, Python Version: 3.12.4, Platform: Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.36
[2025-10-07T08:46:14.874+0000] {connection.py:1258} INFO - This connection is in OCSP Fail Open Mode. TLS Certificates would be checked for validity and revocation status. Any other Certificate Revocation related exceptions or OCSP Responder failures would be disregarded in favor of connectivity.
[2025-10-07T08:46:17.334+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738383.json to Snowflake stage
[2025-10-07T08:46:17.947+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738397.json to Snowflake stage
[2025-10-07T08:46:18.602+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738410.json to Snowflake stage
[2025-10-07T08:46:19.140+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738431.json to Snowflake stage
[2025-10-07T08:46:19.680+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738457.json to Snowflake stage
[2025-10-07T08:46:20.298+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738476.json to Snowflake stage
[2025-10-07T08:46:20.942+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738494.json to Snowflake stage
[2025-10-07T08:46:21.465+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738512.json to Snowflake stage
[2025-10-07T08:46:22.059+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738540.json to Snowflake stage
[2025-10-07T08:46:22.608+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738577.json to Snowflake stage
[2025-10-07T08:46:24.624+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738618.json to Snowflake stage
[2025-10-07T08:46:27.547+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738633.json to Snowflake stage
[2025-10-07T08:46:28.002+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738648.json to Snowflake stage
[2025-10-07T08:46:28.606+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738662.json to Snowflake stage
[2025-10-07T08:46:29.117+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738675.json to Snowflake stage
[2025-10-07T08:46:30.217+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738689.json to Snowflake stage
[2025-10-07T08:46:30.644+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738703.json to Snowflake stage
[2025-10-07T08:46:31.345+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738717.json to Snowflake stage
[2025-10-07T08:46:31.800+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738732.json to Snowflake stage
[2025-10-07T08:46:32.335+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738747.json to Snowflake stage
[2025-10-07T08:46:32.943+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738763.json to Snowflake stage
[2025-10-07T08:46:33.453+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738778.json to Snowflake stage
[2025-10-07T08:46:34.139+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738807.json to Snowflake stage
[2025-10-07T08:46:34.786+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738823.json to Snowflake stage
[2025-10-07T08:46:35.341+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738840.json to Snowflake stage
[2025-10-07T08:46:35.819+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738860.json to Snowflake stage
[2025-10-07T08:46:36.483+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738880.json to Snowflake stage
[2025-10-07T08:46:36.978+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738897.json to Snowflake stage
[2025-10-07T08:46:37.411+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738916.json to Snowflake stage
