[2025-10-07T08:32:34.008+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-10-07T08:32:34.171+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake.load_snowflake scheduled__2025-10-06T17:34:00+00:00 [queued]>
[2025-10-07T08:32:34.218+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake.load_snowflake scheduled__2025-10-06T17:34:00+00:00 [queued]>
[2025-10-07T08:32:34.220+0000] {taskinstance.py:2306} INFO - Starting attempt 2 of 2
[2025-10-07T08:32:34.268+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): load_snowflake> on 2025-10-06 17:34:00+00:00
[2025-10-07T08:32:34.296+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake', 'load_snowflake', 'scheduled__2025-10-06T17:34:00+00:00', '--job-id', '39', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake.py', '--cfg-path', '/tmp/tmpjglb54ao']
[2025-10-07T08:32:34.306+0000] {standard_task_runner.py:91} INFO - Job 39: Subtask load_snowflake
[2025-10-07T08:32:34.308+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=16895) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-10-07T08:32:34.310+0000] {standard_task_runner.py:64} INFO - Started process 16905 to run task
[2025-10-07T08:32:34.565+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake.load_snowflake scheduled__2025-10-06T17:34:00+00:00 [running]> on host 24b9f9b681d0
[2025-10-07T08:32:34.899+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake' AIRFLOW_CTX_TASK_ID='load_snowflake' AIRFLOW_CTX_EXECUTION_DATE='2025-10-06T17:34:00+00:00' AIRFLOW_CTX_TRY_NUMBER='2' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-10-06T17:34:00+00:00'
[2025-10-07T08:32:34.904+0000] {taskinstance.py:430} INFO - ::endgroup::
[2025-10-07T08:32:34.960+0000] {connection.py:408} INFO - Snowflake Connector for Python Version: 3.11.0, Python Version: 3.12.4, Platform: Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.36
[2025-10-07T08:32:34.964+0000] {connection.py:1258} INFO - This connection is in OCSP Fail Open Mode. TLS Certificates would be checked for validity and revocation status. Any other Certificate Revocation related exceptions or OCSP Responder failures would be disregarded in favor of connectivity.
[2025-10-07T08:32:37.805+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738383.json to Snowflake stage
[2025-10-07T08:32:38.530+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738397.json to Snowflake stage
[2025-10-07T08:32:39.121+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738410.json to Snowflake stage
[2025-10-07T08:32:39.925+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738431.json to Snowflake stage
[2025-10-07T08:32:40.861+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738457.json to Snowflake stage
[2025-10-07T08:32:42.070+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738476.json to Snowflake stage
[2025-10-07T08:32:42.780+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738494.json to Snowflake stage
[2025-10-07T08:32:43.215+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738512.json to Snowflake stage
[2025-10-07T08:32:44.140+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738540.json to Snowflake stage
[2025-10-07T08:32:44.803+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738577.json to Snowflake stage
[2025-10-07T08:32:45.655+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738618.json to Snowflake stage
[2025-10-07T08:32:46.065+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738633.json to Snowflake stage
[2025-10-07T08:32:46.588+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738648.json to Snowflake stage
[2025-10-07T08:32:47.084+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738662.json to Snowflake stage
[2025-10-07T08:32:47.698+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738675.json to Snowflake stage
[2025-10-07T08:32:48.135+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738689.json to Snowflake stage
[2025-10-07T08:32:49.036+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738703.json to Snowflake stage
[2025-10-07T08:32:49.543+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738717.json to Snowflake stage
[2025-10-07T08:32:50.157+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738732.json to Snowflake stage
[2025-10-07T08:32:50.549+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738747.json to Snowflake stage
[2025-10-07T08:32:51.410+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738763.json to Snowflake stage
[2025-10-07T08:32:53.800+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738778.json to Snowflake stage
[2025-10-07T08:32:54.955+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738807.json to Snowflake stage
[2025-10-07T08:32:55.497+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738823.json to Snowflake stage
[2025-10-07T08:32:56.106+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738840.json to Snowflake stage
[2025-10-07T08:32:56.665+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738860.json to Snowflake stage
[2025-10-07T08:32:57.244+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738880.json to Snowflake stage
[2025-10-07T08:32:57.710+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738897.json to Snowflake stage
[2025-10-07T08:32:58.184+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738916.json to Snowflake stage
[2025-10-07T08:32:58.606+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738943.json to Snowflake stage
[2025-10-07T08:32:59.115+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738959.json to Snowflake stage
[2025-10-07T08:32:59.515+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738973.json to Snowflake stage
[2025-10-07T08:32:59.974+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738989.json to Snowflake stage
[2025-10-07T08:33:00.424+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739009.json to Snowflake stage
[2025-10-07T08:33:01.097+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739029.json to Snowflake stage
[2025-10-07T08:33:01.701+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739055.json to Snowflake stage
[2025-10-07T08:33:02.297+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739075.json to Snowflake stage
[2025-10-07T08:33:02.736+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739097.json to Snowflake stage
[2025-10-07T08:33:03.215+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739117.json to Snowflake stage
[2025-10-07T08:33:03.775+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739134.json to Snowflake stage
[2025-10-07T08:33:04.257+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739151.json to Snowflake stage
[2025-10-07T08:33:04.713+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739169.json to Snowflake stage
[2025-10-07T08:33:05.209+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739187.json to Snowflake stage
[2025-10-07T08:33:05.775+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739204.json to Snowflake stage
[2025-10-07T08:33:06.296+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739225.json to Snowflake stage
[2025-10-07T08:33:06.733+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739242.json to Snowflake stage
[2025-10-07T08:33:07.258+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739260.json to Snowflake stage
[2025-10-07T08:33:07.770+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739276.json to Snowflake stage
[2025-10-07T08:33:08.283+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739290.json to Snowflake stage
[2025-10-07T08:33:08.897+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739304.json to Snowflake stage
[2025-10-07T08:33:10.332+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739319.json to Snowflake stage
[2025-10-07T08:33:10.868+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739333.json to Snowflake stage
[2025-10-07T08:33:11.342+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739346.json to Snowflake stage
[2025-10-07T08:33:11.750+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739360.json to Snowflake stage
[2025-10-07T08:33:12.377+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739375.json to Snowflake stage
[2025-10-07T08:33:12.831+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739391.json to Snowflake stage
[2025-10-07T08:33:13.258+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739406.json to Snowflake stage
[2025-10-07T08:33:13.814+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739425.json to Snowflake stage
[2025-10-07T08:33:14.258+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739439.json to Snowflake stage
[2025-10-07T08:33:14.782+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739452.json to Snowflake stage
[2025-10-07T08:33:15.248+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739468.json to Snowflake stage
[2025-10-07T08:33:16.046+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739481.json to Snowflake stage
[2025-10-07T08:33:16.578+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739495.json to Snowflake stage
[2025-10-07T08:33:17.091+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739513.json to Snowflake stage
[2025-10-07T08:33:17.806+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739528.json to Snowflake stage
