[2025-10-06T17:37:03.465+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-10-06T17:37:03.555+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2025-10-06T17:36:00+00:00 [queued]>
[2025-10-06T17:37:03.584+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2025-10-06T17:36:00+00:00 [queued]>
[2025-10-06T17:37:03.586+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2025-10-06T17:37:03.620+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): download_minio> on 2025-10-06 17:36:00+00:00
[2025-10-06T17:37:03.634+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake', 'download_minio', 'scheduled__2025-10-06T17:36:00+00:00', '--job-id', '29', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake.py', '--cfg-path', '/tmp/tmp9x3_xcco']
[2025-10-06T17:37:03.642+0000] {standard_task_runner.py:91} INFO - Job 29: Subtask download_minio
[2025-10-06T17:37:03.642+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=12540) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-10-06T17:37:03.650+0000] {standard_task_runner.py:64} INFO - Started process 12550 to run task
[2025-10-06T17:37:03.755+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake.download_minio scheduled__2025-10-06T17:36:00+00:00 [running]> on host 24b9f9b681d0
[2025-10-06T17:37:03.890+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake' AIRFLOW_CTX_TASK_ID='download_minio' AIRFLOW_CTX_EXECUTION_DATE='2025-10-06T17:36:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-10-06T17:36:00+00:00'
[2025-10-06T17:37:03.891+0000] {taskinstance.py:430} INFO - ::endgroup::
[2025-10-06T17:37:04.224+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759738383.json -> /tmp/minio_downloads/1759738383.json
[2025-10-06T17:37:04.236+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759738397.json -> /tmp/minio_downloads/1759738397.json
[2025-10-06T17:37:04.245+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759738410.json -> /tmp/minio_downloads/1759738410.json
[2025-10-06T17:37:04.256+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759738431.json -> /tmp/minio_downloads/1759738431.json
[2025-10-06T17:37:04.263+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759738457.json -> /tmp/minio_downloads/1759738457.json
[2025-10-06T17:37:04.270+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759738476.json -> /tmp/minio_downloads/1759738476.json
[2025-10-06T17:37:04.277+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759738494.json -> /tmp/minio_downloads/1759738494.json
[2025-10-06T17:37:04.283+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759738512.json -> /tmp/minio_downloads/1759738512.json
[2025-10-06T17:37:04.289+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759738540.json -> /tmp/minio_downloads/1759738540.json
[2025-10-06T17:37:04.296+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759738577.json -> /tmp/minio_downloads/1759738577.json
[2025-10-06T17:37:04.302+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759738618.json -> /tmp/minio_downloads/1759738618.json
[2025-10-06T17:37:04.308+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759738633.json -> /tmp/minio_downloads/1759738633.json
[2025-10-06T17:37:04.315+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759738648.json -> /tmp/minio_downloads/1759738648.json
[2025-10-06T17:37:04.321+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759738662.json -> /tmp/minio_downloads/1759738662.json
[2025-10-06T17:37:04.328+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759738675.json -> /tmp/minio_downloads/1759738675.json
[2025-10-06T17:37:04.334+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759738689.json -> /tmp/minio_downloads/1759738689.json
[2025-10-06T17:37:04.341+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759738703.json -> /tmp/minio_downloads/1759738703.json
[2025-10-06T17:37:04.348+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759738717.json -> /tmp/minio_downloads/1759738717.json
