[2025-10-07T10:16:03.891+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-10-07T10:16:03.917+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2025-10-07T10:15:00+00:00 [queued]>
[2025-10-07T10:16:03.925+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2025-10-07T10:15:00+00:00 [queued]>
[2025-10-07T10:16:03.926+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2025-10-07T10:16:03.939+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): download_minio> on 2025-10-07 10:15:00+00:00
[2025-10-07T10:16:03.946+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake', 'download_minio', 'scheduled__2025-10-07T10:15:00+00:00', '--job-id', '6', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake.py', '--cfg-path', '/tmp/tmpqwbjjrd4']
[2025-10-07T10:16:03.949+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=2073) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-10-07T10:16:03.950+0000] {standard_task_runner.py:91} INFO - Job 6: Subtask download_minio
[2025-10-07T10:16:03.951+0000] {standard_task_runner.py:64} INFO - Started process 2083 to run task
[2025-10-07T10:16:04.025+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake.download_minio scheduled__2025-10-07T10:15:00+00:00 [running]> on host 1a1020fea0b2
[2025-10-07T10:16:04.107+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake' AIRFLOW_CTX_TASK_ID='download_minio' AIRFLOW_CTX_EXECUTION_DATE='2025-10-07T10:15:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-10-07T10:15:00+00:00'
[2025-10-07T10:16:04.108+0000] {taskinstance.py:430} INFO - ::endgroup::
[2025-10-07T10:16:04.464+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759829917.json -> /tmp/minio_downloads/1759829917.json
[2025-10-07T10:16:04.475+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759829930.json -> /tmp/minio_downloads/1759829930.json
[2025-10-07T10:16:04.486+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759829942.json -> /tmp/minio_downloads/1759829942.json
[2025-10-07T10:16:04.497+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759829955.json -> /tmp/minio_downloads/1759829955.json
[2025-10-07T10:16:04.506+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759829968.json -> /tmp/minio_downloads/1759829968.json
[2025-10-07T10:16:04.515+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759829981.json -> /tmp/minio_downloads/1759829981.json
[2025-10-07T10:16:04.524+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759829994.json -> /tmp/minio_downloads/1759829994.json
[2025-10-07T10:16:04.535+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759830008.json -> /tmp/minio_downloads/1759830008.json
[2025-10-07T10:16:04.544+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759830021.json -> /tmp/minio_downloads/1759830021.json
[2025-10-07T10:16:04.552+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759830034.json -> /tmp/minio_downloads/1759830034.json
[2025-10-07T10:16:04.560+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759830047.json -> /tmp/minio_downloads/1759830047.json
