[2025-10-06T17:29:05.930+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-10-06T17:29:05.956+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2025-10-06T17:27:00+00:00 [queued]>
[2025-10-06T17:29:05.972+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2025-10-06T17:27:00+00:00 [queued]>
[2025-10-06T17:29:05.972+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2025-10-06T17:29:05.985+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): download_minio> on 2025-10-06 17:27:00+00:00
[2025-10-06T17:29:05.994+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake', 'download_minio', 'scheduled__2025-10-06T17:27:00+00:00', '--job-id', '7', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake.py', '--cfg-path', '/tmp/tmpd3_atp1l']
[2025-10-06T17:29:05.997+0000] {standard_task_runner.py:91} INFO - Job 7: Subtask download_minio
[2025-10-06T17:29:05.998+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=3882) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-10-06T17:29:05.999+0000] {standard_task_runner.py:64} INFO - Started process 3892 to run task
[2025-10-06T17:29:06.068+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake.download_minio scheduled__2025-10-06T17:27:00+00:00 [running]> on host 24b9f9b681d0
[2025-10-06T17:29:06.158+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake' AIRFLOW_CTX_TASK_ID='download_minio' AIRFLOW_CTX_EXECUTION_DATE='2025-10-06T17:27:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-10-06T17:27:00+00:00'
[2025-10-06T17:29:06.159+0000] {taskinstance.py:430} INFO - ::endgroup::
[2025-10-06T17:29:06.525+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759738383.json -> /tmp/minio_downloads/1759738383.json
[2025-10-06T17:29:06.533+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759738397.json -> /tmp/minio_downloads/1759738397.json
[2025-10-06T17:29:06.540+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759738410.json -> /tmp/minio_downloads/1759738410.json
[2025-10-06T17:29:06.547+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759738431.json -> /tmp/minio_downloads/1759738431.json
[2025-10-06T17:29:06.554+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759738457.json -> /tmp/minio_downloads/1759738457.json
[2025-10-06T17:29:06.560+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759738476.json -> /tmp/minio_downloads/1759738476.json
[2025-10-06T17:29:06.567+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759738494.json -> /tmp/minio_downloads/1759738494.json
[2025-10-06T17:29:06.574+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759738512.json -> /tmp/minio_downloads/1759738512.json
[2025-10-06T17:29:06.580+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759738540.json -> /tmp/minio_downloads/1759738540.json
