[2025-10-06T17:30:32.431+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-10-06T17:30:32.456+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2025-10-06T17:29:00+00:00 [queued]>
[2025-10-06T17:30:32.467+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2025-10-06T17:29:00+00:00 [queued]>
[2025-10-06T17:30:32.467+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2025-10-06T17:30:32.479+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): download_minio> on 2025-10-06 17:29:00+00:00
[2025-10-06T17:30:32.487+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake', 'download_minio', 'scheduled__2025-10-06T17:29:00+00:00', '--job-id', '9', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake.py', '--cfg-path', '/tmp/tmpr9akrlc0']
[2025-10-06T17:30:32.489+0000] {standard_task_runner.py:91} INFO - Job 9: Subtask download_minio
[2025-10-06T17:30:32.490+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=4959) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-10-06T17:30:32.491+0000] {standard_task_runner.py:64} INFO - Started process 4969 to run task
[2025-10-06T17:30:32.563+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake.download_minio scheduled__2025-10-06T17:29:00+00:00 [running]> on host 24b9f9b681d0
[2025-10-06T17:30:32.648+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake' AIRFLOW_CTX_TASK_ID='download_minio' AIRFLOW_CTX_EXECUTION_DATE='2025-10-06T17:29:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-10-06T17:29:00+00:00'
[2025-10-06T17:30:32.649+0000] {taskinstance.py:430} INFO - ::endgroup::
[2025-10-06T17:30:33.131+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759738383.json -> /tmp/minio_downloads/1759738383.json
[2025-10-06T17:30:33.154+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759738397.json -> /tmp/minio_downloads/1759738397.json
[2025-10-06T17:30:33.171+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759738410.json -> /tmp/minio_downloads/1759738410.json
[2025-10-06T17:30:33.190+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759738431.json -> /tmp/minio_downloads/1759738431.json
[2025-10-06T17:30:33.209+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759738457.json -> /tmp/minio_downloads/1759738457.json
[2025-10-06T17:30:33.230+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759738476.json -> /tmp/minio_downloads/1759738476.json
[2025-10-06T17:30:33.253+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759738494.json -> /tmp/minio_downloads/1759738494.json
[2025-10-06T17:30:33.269+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759738512.json -> /tmp/minio_downloads/1759738512.json
[2025-10-06T17:30:33.290+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759738540.json -> /tmp/minio_downloads/1759738540.json
[2025-10-06T17:30:33.312+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759738577.json -> /tmp/minio_downloads/1759738577.json
[2025-10-06T17:30:33.328+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759738618.json -> /tmp/minio_downloads/1759738618.json
[2025-10-06T17:30:33.343+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759738633.json -> /tmp/minio_downloads/1759738633.json
[2025-10-06T17:30:33.362+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759738648.json -> /tmp/minio_downloads/1759738648.json
[2025-10-06T17:30:33.376+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759738662.json -> /tmp/minio_downloads/1759738662.json
[2025-10-06T17:30:33.392+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759738675.json -> /tmp/minio_downloads/1759738675.json
[2025-10-06T17:30:33.407+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759738689.json -> /tmp/minio_downloads/1759738689.json
[2025-10-06T17:30:33.420+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759738703.json -> /tmp/minio_downloads/1759738703.json
[2025-10-06T17:30:33.435+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759738717.json -> /tmp/minio_downloads/1759738717.json
[2025-10-06T17:30:33.454+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759738732.json -> /tmp/minio_downloads/1759738732.json
[2025-10-06T17:30:33.472+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759738747.json -> /tmp/minio_downloads/1759738747.json
[2025-10-06T17:30:33.486+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759738763.json -> /tmp/minio_downloads/1759738763.json
[2025-10-06T17:30:33.499+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759738778.json -> /tmp/minio_downloads/1759738778.json
[2025-10-06T17:30:33.516+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759738807.json -> /tmp/minio_downloads/1759738807.json
[2025-10-06T17:30:33.531+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759738823.json -> /tmp/minio_downloads/1759738823.json
[2025-10-06T17:30:33.543+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759738840.json -> /tmp/minio_downloads/1759738840.json
[2025-10-06T17:30:33.555+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759738860.json -> /tmp/minio_downloads/1759738860.json
[2025-10-06T17:30:33.565+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759738880.json -> /tmp/minio_downloads/1759738880.json
[2025-10-06T17:30:33.575+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759738897.json -> /tmp/minio_downloads/1759738897.json
[2025-10-06T17:30:33.586+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759738916.json -> /tmp/minio_downloads/1759738916.json
[2025-10-06T17:30:33.598+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759738943.json -> /tmp/minio_downloads/1759738943.json
[2025-10-06T17:30:33.620+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759738959.json -> /tmp/minio_downloads/1759738959.json
[2025-10-06T17:30:33.637+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759738973.json -> /tmp/minio_downloads/1759738973.json
[2025-10-06T17:30:33.649+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759738989.json -> /tmp/minio_downloads/1759738989.json
[2025-10-06T17:30:33.657+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759739009.json -> /tmp/minio_downloads/1759739009.json
[2025-10-06T17:30:33.665+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759739029.json -> /tmp/minio_downloads/1759739029.json
[2025-10-06T17:30:33.672+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759739055.json -> /tmp/minio_downloads/1759739055.json
