[2025-10-07T10:14:28.616+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-10-07T10:14:28.645+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2025-10-07T10:13:00+00:00 [queued]>
[2025-10-07T10:14:28.654+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2025-10-07T10:13:00+00:00 [queued]>
[2025-10-07T10:14:28.655+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2025-10-07T10:14:28.668+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): download_minio> on 2025-10-07 10:13:00+00:00
[2025-10-07T10:14:28.677+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake', 'download_minio', 'scheduled__2025-10-07T10:13:00+00:00', '--job-id', '2', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake.py', '--cfg-path', '/tmp/tmpend67tqt']
[2025-10-07T10:14:28.680+0000] {standard_task_runner.py:91} INFO - Job 2: Subtask download_minio
[2025-10-07T10:14:28.680+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=244) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-10-07T10:14:28.681+0000] {standard_task_runner.py:64} INFO - Started process 254 to run task
[2025-10-07T10:14:28.757+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake.download_minio scheduled__2025-10-07T10:13:00+00:00 [running]> on host 1a1020fea0b2
[2025-10-07T10:14:28.846+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake' AIRFLOW_CTX_TASK_ID='download_minio' AIRFLOW_CTX_EXECUTION_DATE='2025-10-07T10:13:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-10-07T10:13:00+00:00'
[2025-10-07T10:14:28.848+0000] {taskinstance.py:430} INFO - ::endgroup::
[2025-10-07T10:14:29.289+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759829917.json -> /tmp/minio_downloads/1759829917.json
[2025-10-07T10:14:29.296+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759829930.json -> /tmp/minio_downloads/1759829930.json
[2025-10-07T10:14:29.303+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759829942.json -> /tmp/minio_downloads/1759829942.json
[2025-10-07T10:14:29.310+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759829955.json -> /tmp/minio_downloads/1759829955.json
[2025-10-07T10:14:29.316+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759829968.json -> /tmp/minio_downloads/1759829968.json
[2025-10-07T10:14:29.324+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759829981.json -> /tmp/minio_downloads/1759829981.json
[2025-10-07T10:14:29.330+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759829994.json -> /tmp/minio_downloads/1759829994.json
[2025-10-07T10:14:29.337+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759830008.json -> /tmp/minio_downloads/1759830008.json
[2025-10-07T10:14:29.344+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759830021.json -> /tmp/minio_downloads/1759830021.json
[2025-10-07T10:14:29.350+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759830034.json -> /tmp/minio_downloads/1759830034.json
[2025-10-07T10:14:29.359+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759830047.json -> /tmp/minio_downloads/1759830047.json
[2025-10-07T10:14:29.365+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759830060.json -> /tmp/minio_downloads/1759830060.json
[2025-10-07T10:14:29.372+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759830072.json -> /tmp/minio_downloads/1759830072.json
[2025-10-07T10:14:29.380+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759830085.json -> /tmp/minio_downloads/1759830085.json
[2025-10-07T10:14:29.387+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759830098.json -> /tmp/minio_downloads/1759830098.json
[2025-10-07T10:14:29.393+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759830112.json -> /tmp/minio_downloads/1759830112.json
[2025-10-07T10:14:29.400+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759830125.json -> /tmp/minio_downloads/1759830125.json
[2025-10-07T10:14:29.407+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759830137.json -> /tmp/minio_downloads/1759830137.json
[2025-10-07T10:14:29.414+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759830150.json -> /tmp/minio_downloads/1759830150.json
[2025-10-07T10:14:29.422+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759830164.json -> /tmp/minio_downloads/1759830164.json
[2025-10-07T10:14:29.429+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759830177.json -> /tmp/minio_downloads/1759830177.json
[2025-10-07T10:14:29.436+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759830191.json -> /tmp/minio_downloads/1759830191.json
[2025-10-07T10:14:29.442+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759830204.json -> /tmp/minio_downloads/1759830204.json
[2025-10-07T10:14:29.449+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759830218.json -> /tmp/minio_downloads/1759830218.json
[2025-10-07T10:14:29.458+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759830233.json -> /tmp/minio_downloads/1759830233.json
[2025-10-07T10:14:29.465+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759830246.json -> /tmp/minio_downloads/1759830246.json
[2025-10-07T10:14:29.472+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759830259.json -> /tmp/minio_downloads/1759830259.json
[2025-10-07T10:14:29.478+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759830273.json -> /tmp/minio_downloads/1759830273.json
[2025-10-07T10:14:29.485+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759830288.json -> /tmp/minio_downloads/1759830288.json
[2025-10-07T10:14:29.492+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759830303.json -> /tmp/minio_downloads/1759830303.json
[2025-10-07T10:14:29.498+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759830317.json -> /tmp/minio_downloads/1759830317.json
[2025-10-07T10:14:29.505+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759830332.json -> /tmp/minio_downloads/1759830332.json
[2025-10-07T10:14:29.511+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759830345.json -> /tmp/minio_downloads/1759830345.json
[2025-10-07T10:14:29.518+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759830358.json -> /tmp/minio_downloads/1759830358.json
[2025-10-07T10:14:29.524+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759830372.json -> /tmp/minio_downloads/1759830372.json
[2025-10-07T10:14:29.531+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759830385.json -> /tmp/minio_downloads/1759830385.json
[2025-10-07T10:14:29.537+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759830398.json -> /tmp/minio_downloads/1759830398.json
[2025-10-07T10:14:29.544+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759830411.json -> /tmp/minio_downloads/1759830411.json
[2025-10-07T10:14:29.551+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759830425.json -> /tmp/minio_downloads/1759830425.json
[2025-10-07T10:14:29.557+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759830439.json -> /tmp/minio_downloads/1759830439.json
[2025-10-07T10:14:29.564+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759830452.json -> /tmp/minio_downloads/1759830452.json
[2025-10-07T10:14:29.571+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759830466.json -> /tmp/minio_downloads/1759830466.json
