[2025-10-07T09:19:21.859+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-10-07T09:19:21.883+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2025-10-07T09:18:00+00:00 [queued]>
[2025-10-07T09:19:21.892+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2025-10-07T09:18:00+00:00 [queued]>
[2025-10-07T09:19:21.894+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2025-10-07T09:19:21.906+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): download_minio> on 2025-10-07 09:18:00+00:00
[2025-10-07T09:19:21.915+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake', 'download_minio', 'scheduled__2025-10-07T09:18:00+00:00', '--job-id', '52', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake.py', '--cfg-path', '/tmp/tmpf_yt01b7']
[2025-10-07T09:19:21.919+0000] {standard_task_runner.py:91} INFO - Job 52: Subtask download_minio
[2025-10-07T09:19:21.919+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=25355) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-10-07T09:19:21.920+0000] {standard_task_runner.py:64} INFO - Started process 25365 to run task
[2025-10-07T09:19:21.991+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake.download_minio scheduled__2025-10-07T09:18:00+00:00 [running]> on host 24b9f9b681d0
[2025-10-07T09:19:22.072+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake' AIRFLOW_CTX_TASK_ID='download_minio' AIRFLOW_CTX_EXECUTION_DATE='2025-10-07T09:18:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-10-07T09:18:00+00:00'
[2025-10-07T09:19:22.073+0000] {taskinstance.py:430} INFO - ::endgroup::
[2025-10-07T09:19:22.391+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759738383.json -> /tmp/minio_downloads/1759738383.json
[2025-10-07T09:19:22.400+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759738397.json -> /tmp/minio_downloads/1759738397.json
[2025-10-07T09:19:22.406+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759738410.json -> /tmp/minio_downloads/1759738410.json
[2025-10-07T09:19:22.413+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759738431.json -> /tmp/minio_downloads/1759738431.json
[2025-10-07T09:19:22.420+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759738457.json -> /tmp/minio_downloads/1759738457.json
[2025-10-07T09:19:22.426+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759738476.json -> /tmp/minio_downloads/1759738476.json
[2025-10-07T09:19:22.433+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759738494.json -> /tmp/minio_downloads/1759738494.json
[2025-10-07T09:19:22.439+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759738512.json -> /tmp/minio_downloads/1759738512.json
[2025-10-07T09:19:22.447+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759738540.json -> /tmp/minio_downloads/1759738540.json
[2025-10-07T09:19:22.455+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759738577.json -> /tmp/minio_downloads/1759738577.json
[2025-10-07T09:19:22.464+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759738618.json -> /tmp/minio_downloads/1759738618.json
[2025-10-07T09:19:22.471+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759738633.json -> /tmp/minio_downloads/1759738633.json
[2025-10-07T09:19:22.480+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759738648.json -> /tmp/minio_downloads/1759738648.json
[2025-10-07T09:19:22.486+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759738662.json -> /tmp/minio_downloads/1759738662.json
[2025-10-07T09:19:22.496+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759738675.json -> /tmp/minio_downloads/1759738675.json
[2025-10-07T09:19:22.503+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759738689.json -> /tmp/minio_downloads/1759738689.json
