[2025-10-07T17:59:36.736+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-10-07T17:59:36.789+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2025-10-07T17:58:00+00:00 [queued]>
[2025-10-07T17:59:36.800+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2025-10-07T17:58:00+00:00 [queued]>
[2025-10-07T17:59:36.801+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2025-10-07T17:59:36.819+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): download_minio> on 2025-10-07 17:58:00+00:00
[2025-10-07T17:59:36.831+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake', 'download_minio', 'scheduled__2025-10-07T17:58:00+00:00', '--job-id', '8', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake.py', '--cfg-path', '/tmp/tmprv6gaccu']
[2025-10-07T17:59:36.836+0000] {standard_task_runner.py:91} INFO - Job 8: Subtask download_minio
[2025-10-07T17:59:36.836+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=3824) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-10-07T17:59:36.837+0000] {standard_task_runner.py:64} INFO - Started process 3837 to run task
[2025-10-07T17:59:36.967+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake.download_minio scheduled__2025-10-07T17:58:00+00:00 [running]> on host 1a1020fea0b2
[2025-10-07T17:59:37.127+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake' AIRFLOW_CTX_TASK_ID='download_minio' AIRFLOW_CTX_EXECUTION_DATE='2025-10-07T17:58:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-10-07T17:58:00+00:00'
[2025-10-07T17:59:37.129+0000] {taskinstance.py:430} INFO - ::endgroup::
[2025-10-07T17:59:37.810+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759829917.json -> /tmp/minio_downloads/1759829917.json
[2025-10-07T17:59:37.826+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759829930.json -> /tmp/minio_downloads/1759829930.json
[2025-10-07T17:59:37.842+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759829942.json -> /tmp/minio_downloads/1759829942.json
[2025-10-07T17:59:37.855+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759829955.json -> /tmp/minio_downloads/1759829955.json
[2025-10-07T17:59:37.868+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759829968.json -> /tmp/minio_downloads/1759829968.json
[2025-10-07T17:59:37.882+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759829981.json -> /tmp/minio_downloads/1759829981.json
[2025-10-07T17:59:37.897+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759829994.json -> /tmp/minio_downloads/1759829994.json
[2025-10-07T17:59:37.913+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759830008.json -> /tmp/minio_downloads/1759830008.json
[2025-10-07T17:59:37.927+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759830021.json -> /tmp/minio_downloads/1759830021.json
[2025-10-07T17:59:37.942+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759830034.json -> /tmp/minio_downloads/1759830034.json
[2025-10-07T17:59:37.958+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759830047.json -> /tmp/minio_downloads/1759830047.json
[2025-10-07T17:59:37.974+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759830060.json -> /tmp/minio_downloads/1759830060.json
[2025-10-07T17:59:37.987+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759830072.json -> /tmp/minio_downloads/1759830072.json
[2025-10-07T17:59:38.001+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759830085.json -> /tmp/minio_downloads/1759830085.json
[2025-10-07T17:59:38.015+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759830098.json -> /tmp/minio_downloads/1759830098.json
[2025-10-07T17:59:38.029+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759830112.json -> /tmp/minio_downloads/1759830112.json
[2025-10-07T17:59:38.046+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759830125.json -> /tmp/minio_downloads/1759830125.json
[2025-10-07T17:59:38.063+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759830137.json -> /tmp/minio_downloads/1759830137.json
[2025-10-07T17:59:38.077+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759830150.json -> /tmp/minio_downloads/1759830150.json
[2025-10-07T17:59:38.091+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759830164.json -> /tmp/minio_downloads/1759830164.json
[2025-10-07T17:59:38.105+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759830177.json -> /tmp/minio_downloads/1759830177.json
[2025-10-07T17:59:38.116+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759830191.json -> /tmp/minio_downloads/1759830191.json
[2025-10-07T17:59:38.129+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759830204.json -> /tmp/minio_downloads/1759830204.json
[2025-10-07T17:59:38.141+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759830218.json -> /tmp/minio_downloads/1759830218.json
[2025-10-07T17:59:38.153+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759830233.json -> /tmp/minio_downloads/1759830233.json
[2025-10-07T17:59:38.166+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759830246.json -> /tmp/minio_downloads/1759830246.json
[2025-10-07T17:59:38.176+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759830259.json -> /tmp/minio_downloads/1759830259.json
[2025-10-07T17:59:38.188+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759830273.json -> /tmp/minio_downloads/1759830273.json
[2025-10-07T17:59:38.200+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759830288.json -> /tmp/minio_downloads/1759830288.json
[2025-10-07T17:59:38.211+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759830303.json -> /tmp/minio_downloads/1759830303.json
[2025-10-07T17:59:38.222+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759830317.json -> /tmp/minio_downloads/1759830317.json
[2025-10-07T17:59:38.233+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759830332.json -> /tmp/minio_downloads/1759830332.json
[2025-10-07T17:59:38.243+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759830345.json -> /tmp/minio_downloads/1759830345.json
[2025-10-07T17:59:38.253+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759830358.json -> /tmp/minio_downloads/1759830358.json
[2025-10-07T17:59:38.264+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759830372.json -> /tmp/minio_downloads/1759830372.json
[2025-10-07T17:59:38.275+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759830385.json -> /tmp/minio_downloads/1759830385.json
[2025-10-07T17:59:38.286+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759830398.json -> /tmp/minio_downloads/1759830398.json
[2025-10-07T17:59:38.297+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759830411.json -> /tmp/minio_downloads/1759830411.json
[2025-10-07T17:59:38.309+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759830425.json -> /tmp/minio_downloads/1759830425.json
[2025-10-07T17:59:38.319+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759830439.json -> /tmp/minio_downloads/1759830439.json
[2025-10-07T17:59:38.331+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759830452.json -> /tmp/minio_downloads/1759830452.json
[2025-10-07T17:59:38.343+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759830466.json -> /tmp/minio_downloads/1759830466.json
[2025-10-07T17:59:38.358+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759830480.json -> /tmp/minio_downloads/1759830480.json
[2025-10-07T17:59:38.377+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759830494.json -> /tmp/minio_downloads/1759830494.json
[2025-10-07T17:59:38.392+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759830508.json -> /tmp/minio_downloads/1759830508.json
[2025-10-07T17:59:38.404+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759830524.json -> /tmp/minio_downloads/1759830524.json
[2025-10-07T17:59:38.417+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759830538.json -> /tmp/minio_downloads/1759830538.json
[2025-10-07T17:59:38.430+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759830552.json -> /tmp/minio_downloads/1759830552.json
[2025-10-07T17:59:38.440+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1759830566.json -> /tmp/minio_downloads/1759830566.json
